Filename	DirectLink	FileLink
A20429805	https://drive.google.com/uc?id=1MvdY1CVO1uu0qJUn0lfMaV3l34ICUpmb&export=download	https://drive.google.com/file/d/1MvdY1CVO1uu0qJUn0lfMaV3l34ICUpmb/edit
A20420729 	https://drive.google.com/uc?id=1QQa1OgZJUDDIS1Y6tkOoopG2PMEeSfjZ&export=download	https://drive.google.com/file/d/1QQa1OgZJUDDIS1Y6tkOoopG2PMEeSfjZ/edit
A20420723	https://drive.google.com/uc?id=1-0qEEXs1zZXdd_o7ErNecQzdlN61yvnN&export=download	https://drive.google.com/file/d/1-0qEEXs1zZXdd_o7ErNecQzdlN61yvnN/edit
A20420718	https://drive.google.com/uc?id=1Uo2JOeeYq7KfdhajDE7bISVTTe4TbUfn&export=download	https://drive.google.com/file/d/1Uo2JOeeYq7KfdhajDE7bISVTTe4TbUfn/edit
A20420712	https://drive.google.com/uc?id=1FtR2oFcLHEEohlOqLzM2hKNNq8LZqXrF&export=download	https://drive.google.com/file/d/1FtR2oFcLHEEohlOqLzM2hKNNq8LZqXrF/edit
A20420702	https://drive.google.com/uc?id=1ELwIlMGDBau2dTqYDzMTtDveuVAiiS6v&export=download	https://drive.google.com/file/d/1ELwIlMGDBau2dTqYDzMTtDveuVAiiS6v/edit
A20420701	https://drive.google.com/uc?id=1-RsmjT2ZxnWiXfX2dgwRQkve47oyqfu9&export=download	https://drive.google.com/file/d/1-RsmjT2ZxnWiXfX2dgwRQkve47oyqfu9/edit
A20420696	https://drive.google.com/uc?id=1yi7F0vRANABEhVHbxKFDw4DmijiZtlMw&export=download	https://drive.google.com/file/d/1yi7F0vRANABEhVHbxKFDw4DmijiZtlMw/edit
A20420693	https://drive.google.com/uc?id=1MQj2-_k0DIluraH_cPNGt3Qvtc0tfIgr&export=download	https://drive.google.com/file/d/1MQj2-_k0DIluraH_cPNGt3Qvtc0tfIgr/edit
A20420689	https://drive.google.com/uc?id=1o6JqaF6kUXcPbMDN3lpY9dxmvowauRqF&export=download	https://drive.google.com/file/d/1o6JqaF6kUXcPbMDN3lpY9dxmvowauRqF/edit
A20420687	https://drive.google.com/uc?id=1veJH9WhbVFUMp-0q5lbS-qeu74ZYNCxE&export=download	https://drive.google.com/file/d/1veJH9WhbVFUMp-0q5lbS-qeu74ZYNCxE/edit
A20420688	https://drive.google.com/uc?id=1XLtBjsoWKxJAZZj2U1Y9qtDn_sLqJ3p7&export=download	https://drive.google.com/file/d/1XLtBjsoWKxJAZZj2U1Y9qtDn_sLqJ3p7/edit
A20420683	https://drive.google.com/uc?id=1dhGbihx2R1cjnvpghf_qDj2Pkt9F4pUI&export=download	https://drive.google.com/file/d/1dhGbihx2R1cjnvpghf_qDj2Pkt9F4pUI/edit
A20420658	https://drive.google.com/uc?id=1mUZ46Td3FpFK9oCBj_Y8UmN468FA3wW3&export=download	https://drive.google.com/file/d/1mUZ46Td3FpFK9oCBj_Y8UmN468FA3wW3/edit
